Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,p_choice.keys,p_choice.rt,p_choice.duration,p_next_trial_input.keys,p_next_trial_input.rt,p_next_trial_input.duration,happiness_rating_prac.response,happiness_rating_prac.rt,key_resp_5.keys,key_resp_9.keys,key_resp_5.rt,key_resp_5.duration,key_resp_9.rt,key_resp_9.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,user_choice.keys,user_choice.rt,user_choice.duration,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,p_outcome_square_2.started,intro_outcome_text_5.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_outcome_text_2.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,instructions7.started,total_prompt_inst_5a_3.started,fixation_inst_5a_6.started,prog_5.started,p_outcome_square_4.started,intro_outcome_text_4.started,instrutions_text.started,key_resp_inst_6.started,arrow1.started,arrow2.started,instructions7.stopped,key_resp_inst_6.keys,key_resp_inst_6.rt,key_resp_inst_6.duration,instructions8.started,instructions_text_3.started,Continue_txt_3.started,key_resp_inst_7.started,instructions8.stopped,key_resp_inst_7.keys,key_resp_inst_7.rt,key_resp_inst_7.duration,happy_overall.started,question_3.started,happiness_rating_overall.started,low_end_text_3.started,high_end_text_3.started,key_resp_7.started,exit_text_4.started,happy_overall.stopped,happiness_rating_overall.response,happiness_rating_overall.rt,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions10.started,instructions_text_6.started,Continue_txt_4.started,key_resp_inst_8.started,instructions10.stopped,key_resp_inst_8.keys,key_resp_inst_8.rt,key_resp_inst_8.duration,happy_base.started,question_5.started,happiness_rating_baseline.started,low_end_text_5.started,high_end_text_5.started,exit_text_3.started,key_resp_8.started,happy_base.stopped,happiness_rating_baseline.response,happiness_rating_baseline.rt,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions10_2.started,instructions_text_2.started,Continue_txt_6.started,key_resp_inst_11.started,instructions10_2.stopped,key_resp_inst_11.keys,key_resp_inst_11.rt,key_resp_inst_11.duration,instructions11.started,instructions_text_7.started,Continue_txt_5.started,key_resp_inst_9.started,instructions11.stopped,key_resp_inst_9.keys,key_resp_inst_9.rt,key_resp_inst_9.duration,first_delay.started,text_3.started,first_delay.stopped,p_options_show.started,p_fixation_cross_4.started,p_box1.started,p_box2.started,p_box3.started,p_box4.started,p_box1_mag.started,p_box1_P.started,p_box2_mag.started,p_box2_P.started,p_box3_mag.started,p_box3_P.started,p_box4_mag.started,p_box4_P.started,p_choice.started,practice_txt_2.started,p_options_show.stopped,practice_trials.p_choice.keys,practice_trials.p_choice.rt,practice_trials.p_choice.duration,choice_prac,p_chosen_option.started,fixation_5.started,p_box1_2.started,p_box2_2.started,p_box3_2.started,p_box4_2.started,p_box1_mag_2.started,p_box1_P_2.started,p_box2_mag_2.started,p_box2_P_2.started,p_box3_mag_2.started,p_box3_P_2.started,p_box4_mag_2.started,p_box4_P_2.started,practice_txt_3.started,p_chosen_option.stopped,current_money_prac,outcome_prac,p_reward_outcome.started,p_money_prompt.started,practice_txt.started,p_outcome_square.started,p_outcome_text.started,p_reward_txt.started,p_prog_bar.started,p_next_trial_txt.started,p_next_trial_input.started,p_reward_outcome.stopped,practice_trials.p_next_trial_input.keys,practice_trials.p_next_trial_input.rt,practice_trials.p_next_trial_input.duration,iti.started,text.started,iti.stopped,p_happiness_trial.started,p_happiness_trial.stopped,practice_trials.happiness_rating_prac.response,practice_trials.happiness_rating_prac.rt,practice_trials.key_resp_5.keys,p_h_iti.started,p_h_iti.stopped,repeat_practice.started,repeat_practice.stopped,practice_trials.key_resp_9.keys,repeat_iti.started,repeat_iti.stopped,question_4.started,happiness_rating_prac.started,low_end_text_4.started,high_end_text_4.started,exit_text_2.started,key_resp_5.started,practice_trials.key_resp_5.rt,practice_trials.key_resp_5.duration,text_2.started,repeat_practice_txt.started,key_resp_9.started,practice_trials.key_resp_9.rt,practice_trials.key_resp_9.duration,instructions12.started,instructions_text_8.started,key_resp_inst_10.started,instructions12.stopped,key_resp_inst_10.keys,key_resp_inst_10.rt,key_resp_inst_10.duration,options_show.started,fixation_cross_2.started,box1.started,box2.started,box3.started,box4.started,box1_mag.started,box1_P.started,box2_mag.started,box2_P.started,box3_mag.started,box3_P.started,box4_mag.started,box4_P.started,user_choice.started,options_show.stopped,trials.user_choice.keys,trials.user_choice.rt,trials.user_choice.duration,choice,chosen_option.started,fixation_7.started,box1_2.started,box2_2.started,box3_2.started,box4_2.started,box1_mag_2.started,box1_P_2.started,box2_mag_2.started,box2_P_2.started,box3_mag_2.started,box3_P_2.started,box4_mag_2.started,box4_P_2.started,chosen_option.stopped,current_money,outcome,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.927213708986528,7.937981208990095,7.937981208990095,7.937981208990095,7.937981208990095,7.937981208990095,7.937981208990095,7.937981208990095,8.915624084009323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.915945791988634,8.925687084003584,8.925687084003584,8.925687084003584,8.925687084003584,9.907912541995756,9.907912541995756,10.092137500003446,space,0.1786151249834802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.092160917003639,10.101359166990733,10.101359166990733,10.101359166990733,10.82514283398632,return,0.7195755839929916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.825505209009862,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,10.837409125000704,11.394622749998234,return,0.5538508750032634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.394646041997476,11.402988791989628,11.402988791989628,11.402988791989628,12.282632209011354,return,0.8729206660063937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.283063459006371,12.31789687499986,12.31789687499986,12.31789687499986,12.31789687499986,12.31789687499986,12.31789687499986,14.585836584010394,7.0,1.6370570000144653,return,2.2525977500190493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.585865125001874,14.608480041992152,14.608480041992152,14.608480041992152,15.217725875001634,return,0.6085197920037899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.218157124996651,15.228460042009829,17.74353770900052,17.74353770900052,17.74353770900052,17.74353770900052,17.74353770900052,18.914512583985925,17.0,2.9580680829822086,return,1.1623649999964982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.914545834006276,18.92535108400625,18.92535108400625,18.92535108400625,19.675074250000762,return,0.7451316250080708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.675105792004615,19.684700042009354,19.684700042009354,19.684700042009354,20.232635124993976,return,0.5418208329938352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.232664000010118,20.241830084007233,22.225450666999677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,0,0,0,,,,right,1.6163412909954786,None,space,0.3512451249989681,None,None,None,None,None,,,,,,,,,0,0,0,0,,,,,,,,22.255500083992956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.238235583994538,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,22.255500083992956,23.8771976249991,right,1.6163412909954786,None,1,23.882914791989606,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,23.89504395899712,24.86571629199898,5,-1,24.873083834012505,24.883402875013417,24.883402875013417,24.883402875013417,24.883402875013417,24.883402875013417,24.883402875013417,25.858757125010015,25.858757125010015,26.21755754199694,space,0.3512451249989681,None,26.217594916990492,26.22697237500688,27.208563624997623,27.2091120420082,27.20932554200408,None,None,None,27.209360709006432,27.209375875012483,27.209386834001634,27.209402917011175,None,27.20941887499066,27.209437334007816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,1,0,1,,,,right,1.9122927499993239,None,space,0.6209098330000415,None,17.0,4.0169669589959085,return,None,1.974395208992064,None,,,,,,,1,0,1,0,,,,,,,,27.22435141701135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.213848167011747,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,27.22435141701135,29.144997875002446,right,1.9122927499993239,None,1,29.149331708991667,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,29.15889266700833,30.13271075001103,5.35,0,30.13588441698812,30.14552854199428,30.14552854199428,30.14552854199428,30.14552854199428,30.14552854199428,30.14552854199428,31.125482125004055,31.125482125004055,31.75303883399465,space,0.6209098330000415,None,31.753074917010963,31.761912084009964,32.742074542009505,32.74259154198808,37.25929712501238,17.0,4.0169669589959085,return,37.25934429198969,38.24211250001099,38.242137333989376,38.24215845900471,None,38.24218237499008,38.242197834013496,32.75146270901314,35.262348666990874,35.262348666990874,35.262348666990874,35.262348666990874,35.262348666990874,1.974395208992064,None,37.266583749995334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,2,0,2,,,,left,0.7028941249882337,None,space,0.6519161250034813,None,None,None,None,None,,,,,,,,,2,0,2,0,,,,,,,,38.25821941700997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.24765458400361,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.25821941700997,38.97052916701068,left,0.7028941249882337,None,0,38.974563124997076,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,38.983456666988786,39.95851362499525,5.35,0,39.9591381670034,39.967790208989754,39.967790208989754,39.967790208989754,39.967790208989754,39.967790208989754,39.967790208989754,40.950026709004305,40.950026709004305,41.60999204200925,space,0.6519161250034813,None,41.61002591700526,41.61825745899114,42.59824762499193,42.59880904198508,42.59902783398866,None,None,None,42.59906454200973,42.59908016701229,42.59909241698915,42.59910699998727,None,42.599124416999985,42.599138999998104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,3,0,3,,,,left,1.8107589590072166,None,space,0.40697704200283624,None,None,None,None,None,,,,,,,,,3,0,3,0,,,,,,,,42.6145929589984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.60536916699493,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,42.6145929589984,44.42620162499952,left,1.8107589590072166,None,0,44.43085491700913,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,44.44012187499902,45.409364708990324,5.35,0,45.40998045899323,45.4188076670107,45.4188076670107,45.4188076670107,45.4188076670107,45.4188076670107,45.4188076670107,46.40178470898536,46.40178470898536,46.80953779199626,space,0.40697704200283624,None,46.80958029199974,46.817841792013496,47.79845883400412,47.79907054200885,47.79931050000596,None,None,None,47.799349500011886,47.799365541985026,47.799378666997654,47.799394000001485,None,47.799413083994295,47.799428333994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,4,0,4,,,,left,3.1470942080195528,None,space,0.3954576250107493,None,17.0,3.8973699159978423,return,None,2.519209416990634,None,,,,,,,4,0,4,0,,,,,,,,47.8148160839919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8050521670084,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,47.8148160839919,50.96999341700575,left,3.1470942080195528,None,0,50.97373262498877,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,50.982682083995314,51.958388917002594,5.35,0,51.95902520901291,51.967761667008745,51.967761667008745,51.967761667008745,51.967761667008745,51.967761667008745,51.967761667008745,52.95100708398968,52.95100708398968,53.3521107090055,space,0.3954576250107493,None,53.352148542006034,53.37524529200164,54.34331529200426,54.34578933400917,59.41720645900932,17.0,3.8973699159978423,return,59.41725441699964,60.40810720899026,60.408131208998384,60.408151375013404,None,60.408174667012645,60.4081902919861,54.35815516699222,56.88709887501318,56.88709887501318,56.88709887501318,56.88709887501318,56.88709887501318,2.519209416990634,None,59.42703316701227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,5,0,5,,,,left,2.269131125009153,None,space,0.8197642080194782,None,None,None,None,None,,,,,,,,,5,0,5,0,,,,,,,,60.42272995901294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.412913292006124,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,60.42272995901294,62.693545416987035,left,2.269131125009153,None,0,62.697150541993324,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,62.70613874998526,63.682357334007975,5.35,1,63.69117020900012,63.70126045899815,63.70126045899815,63.70126045899815,63.70126045899815,63.70126045899815,63.70126045899815,64.67623608399299,64.67623608399299,65.50079708400881,space,0.8197642080194782,None,65.50083729199832,65.51015591699979,66.49194070900558,66.49250883399509,66.49273312499281,None,None,None,66.49277025001356,66.49278533400502,66.49279749998823,66.49281170900213,None,66.49282891699113,66.4928428750136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
