Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,curr_total_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_next_trial_txt.started,intro_next_trial_input.started,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,2026-04-17_15.21.15,0.048473125003511086,0.0788539170025615,0.0788539170025615,0.4396297089988366,1,[0.36038804199779406],[0.3603914999985136],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.19639166700653732,0.10250874999474036,0,0,0,0,0.4638208339965786,,,,,,,,,,0.4541871670007822,0.4638208339965786,0.4638208339965786,0.4638208339965786,0.7676685420010472,return,0.19639166700653732,0.10250874999474036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.11802366600022651,0.13515716700203484,0,1,1,1,0.7801838340019458,,,,,,,,,,0.7711720419974881,0.7801838340019458,0.7801838340019458,0.7801838340019458,1.0340422919980483,return,0.11802366600022651,0.13515716700203484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.17640974999812897,0.09129454100184375,0,2,2,2,1.0513712920001126,,,,,,,,,,1.0423830419967999,1.0513712920001126,1.0513712920001126,1.0513712920001126,1.320045583997853,return,0.17640974999812897,0.09129454100184375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.3092465000008815,0.11803525000141235,0,3,3,3,1.3397662089992082,,,,,,,,,,1.3306937919987831,1.3397662089992082,1.3397662089992082,1.3397662089992082,1.7698672089973115,return,0.3092465000008815,0.11803525000141235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7743192499983707,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,1.7865933749999385,2.9846187090006424,left,1.1971150410026894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9854719170034514,3.011703459000273,3.011703459000273,3.011703459000273,3.9757586249979795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97797675000038,3.9873131249987637,3.9873131249987637,3.9873131249987637,3.9873131249987637,3.9873131249987637,3.9873131249987637,6.8174415419998695,space,2.8238277499985998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.817464416999428,6.82891699999891,7.809713709000789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.814615458999469,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,7.828308374999324,9.317584417003673,right,1.4863263330043992,None,,,,,,,,,,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.318912374998035,9.330215125002724,9.330215125002724,9.330215125002724,9.330215125002724,9.330215125002724,9.330215125002724,9.330215125002724,10.309090417002153,,,,,,,,,,2026-04-17_15h21.12.682,Mood4,2024.2.4,2026-04-17 15h21.16.538849 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.309562000002188,10.318000459003088,10.318000459003088,10.318000459003088,12.300163416999567,12.300163416999567,,,,,,,,
